student_id,assessment_id,assessment_status,completion_confidence,completed_original_flag,completed_reconstructed_flag,completion_reason,num_games_passed,total_games,final_game,last_completed_game,item_interactions,weak_skill_count,fuzzy_status,mastery_score,fuzzy_state,evidence_count,started_at,estimated_finished_at,estimated_finished_at_is_reconstructed,estimated_duration_ms,estimated_duration_ms_is_reconstructed
stu_1777374905378_409,test_1777341418390_7p46nbr,completed_original,1,1,0,finished=true,2,6,vertical_operations,,14,5,full_assessment,1.37,emerging,14,2026-04-28T11:32:42.687Z,2026-04-28T11:38:57.382Z,0,374695,0
stu_1780967494580_4312,test_1780996897356_kspg977,completed_original,1,1,0,finished=true,8,10,vertical_operations,vertical_operations,66,23,full_assessment,1,emerging,66,2026-06-09T09:21:37.546Z,2026-06-10T11:27:43.384Z,0,93965838,0
stu_1780967494580_4312,test_1781051031467_d8q3s6i,completed_original,1,1,0,finished=true,8,8,vertical_operations,vertical_operations,32,4,full_assessment,5.65,proficient,32,2026-06-10T00:23:51.602Z,2026-06-10T10:59:42.412Z,0,38150810,0
stu_1780967494580_4312,test_1781093235410_7hlnif4,completed_original,1,1,0,finished=true,1,2,vertical_operations,vertical_operations,7,3,full_assessment,2.03,emerging,7,2026-06-10T12:07:15.764Z,2026-06-10T12:27:30.512Z,0,1214748,0
stu_1780967494776_5259,test_1780996897356_kspg977,completed_original,1,1,0,finished=true,10,10,vertical_operations,vertical_operations,43,5,full_assessment,1,emerging,43,2026-06-09T09:21:37.606Z,2026-06-10T10:53:38.142Z,0,91920536,0
stu_1780967494776_5259,test_1781051031467_d8q3s6i,completed_original,1,1,0,finished=true,7,8,vertical_operations,vertical_operations,30,8,full_assessment,5.06,proficient,30,2026-06-10T00:23:51.662Z,2026-06-10T10:46:41.916Z,0,37370254,0
stu_1780967494776_5259,test_1781089532764_fckxbu0,completed_original,1,1,0,finished=true,8,8,vertical_operations,vertical_operations,29,3,full_assessment,5.59,proficient,29,2026-06-10T11:05:34.749Z,2026-06-10T11:13:40.321Z,0,485572,0
stu_1780967494776_5259,test_1781091763213_4cfhvjq,completed_original,1,1,0,finished=true,9,9,vertical_operations,vertical_operations,48,4,full_assessment,5.59,proficient,48,2026-06-10T11:42:44.257Z,2026-06-10T12:16:14.747Z,0,2010490,0
stu_1780967494776_5259,test_1781093235410_7hlnif4,completed_original,1,1,0,finished=true,1,2,vertical_operations,vertical_operations,12,3,full_assessment,3.13,developing,12,2026-06-10T12:07:15.864Z,2026-06-10T12:24:41.636Z,0,1045772,0
stu_1780967494964_3113,test_1780996897356_kspg977,completed_original,1,1,0,finished=true,10,10,vertical_operations,vertical_operations,42,5,full_assessment,5.65,proficient,42,2026-06-09T09:21:37.665Z,2026-06-10T11:14:58.047Z,0,93200382,0
stu_1780967494964_3113,test_1781051031467_d8q3s6i,completed_original,1,1,0,finished=true,8,8,vertical_operations,vertical_operations,27,2,full_assessment,1,emerging,27,2026-06-10T00:23:51.724Z,2026-06-10T10:53:45.352Z,0,37793628,0
stu_1780967494964_3113,test_1781089532764_fckxbu0,completed_original,1,1,0,finished=true,8,8,vertical_operations,vertical_operations,28,2,full_assessment,5.61,proficient,28,2026-06-10T11:05:34.829Z,2026-06-10T11:30:38.521Z,0,1503692,0
stu_1780967494964_3113,test_1781091763213_4cfhvjq,completed_original,1,1,0,finished=true,9,9,vertical_operations,vertical_operations,33,3,full_assessment,5.67,proficient,33,2026-06-10T11:42:44.363Z,2026-06-10T11:57:41.061Z,0,896698,0
stu_1780967494964_3113,test_1781093235410_7hlnif4,completed_original,1,1,0,finished=true,1,2,vertical_operations,vertical_operations,7,2,full_assessment,1,emerging,7,2026-06-10T12:07:15.942Z,2026-06-10T12:21:13.473Z,0,837531,0
stu_1780967494964_3113,test_1781094588909_etc7w2i,completed_original,1,1,0,finished=true,6,6,vertical_operations,vertical_operations,26,2,full_assessment,1,emerging,26,2026-06-10T12:29:49.461Z,2026-06-10T12:42:14.296Z,0,744835,0
stu_1780967760765_5855,test_1781051031467_d8q3s6i,completed_original,1,1,0,finished=true,6,8,vertical_operations,vertical_operations,40,8,full_assessment,5.61,proficient,40,2026-06-10T00:23:51.846Z,2026-06-10T11:37:33.992Z,0,40422146,0
stu_1780967760954_1871,test_1781051031467_d8q3s6i,completed_original,1,1,0,finished=true,7,8,vertical_operations,choose_answer,69,3,full_assessment,5,proficient,69,2026-06-10T00:23:51.906Z,2026-06-10T12:11:04.155Z,0,42432249,0
stu_1780967760954_1871,test_1781091763213_4cfhvjq,partial,0.5,0,0,interaction logs exist but completion criteria not met,,9,vertical_operations,identify_place_value,34,3,partial_assessment,1,emerging,34,2026-06-10T11:42:44.927Z,2026-06-10T12:28:15.611Z,0,2730684,0
stu_1780967760954_1871,test_1781093235410_7hlnif4,completed_original,1,1,0,finished=true,1,2,vertical_operations,vertical_operations,7,2,full_assessment,1,emerging,7,2026-06-10T12:07:16.168Z,2026-06-10T12:57:22.151Z,0,3005983,0
stu_1780967760954_1871,test_1781094588909_etc7w2i,completed_original,1,1,0,finished=true,6,6,vertical_operations,vertical_operations,28,5,full_assessment,1,emerging,28,2026-06-10T12:29:49.723Z,2026-06-10T12:46:12.839Z,0,983116,0
stu_1780967761139_4648,test_1780996897356_kspg977,completed_original,1,1,0,finished=true,9,10,vertical_operations,vertical_operations,51,13,full_assessment,5.02,proficient,51,2026-06-09T09:21:37.902Z,2026-06-10T11:25:57.168Z,0,93859266,0
stu_1780967761139_4648,test_1781051031467_d8q3s6i,completed_original,1,1,0,finished=true,7,8,vertical_operations,vertical_operations,39,8,full_assessment,5.6,proficient,39,2026-06-10T00:23:51.967Z,2026-06-10T10:59:15.559Z,0,38123592,0
stu_1780967761139_4648,test_1781093235410_7hlnif4,completed_original,1,1,0,finished=true,1,2,vertical_operations,vertical_operations,12,3,full_assessment,1,emerging,12,2026-06-10T12:07:16.246Z,2026-06-10T12:17:02.165Z,0,585919,0
stu_1780967877464_7804,test_1781051031467_d8q3s6i,completed_original,1,1,0,finished=true,8,8,vertical_operations,vertical_operations,34,3,full_assessment,1,emerging,34,2026-06-10T00:23:52.027Z,2026-06-10T12:02:36.598Z,0,41924571,0
stu_1780967877464_7804,test_1781091763213_4cfhvjq,partial,0.5,0,0,interaction logs exist but completion criteria not met,,9,vertical_operations,choose_answer,20,2,partial_assessment,3,developing,20,2026-06-10T11:42:45.854Z,2026-06-10T13:09:31.559Z,0,5205705,0
