student_id,assessment_id,assessment_status,fuzzy_status,mastery_score,fuzzy_state,evidence_count,fuzzy_confidence,rule_fires
stu_1777023762504_1364,test_1777023978840_kask7x7,completed_original,full_assessment,5.13,proficient,25,0.87,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0.5619047619047619,""rG6"":0.5619047619047619}"
stu_1777023762504_1364,test_1781048227348_yh9wms9,completed_reconstructed,full_assessment,5,proficient,22,0.8,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0.5,""rG6"":0}"
stu_1777023762699_4024,test_1777023978840_kask7x7,completed_original,full_assessment,1.39,emerging,6,0.87,"{""rG1"":0.5,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0}"
stu_1777023762699_4024,test_1781049725283_3of3fqe,completed_original,full_assessment,5.02,proficient,52,0.87,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0.058823529411764705,""rG6"":0.058823529411764705}"
stu_1777023762902_7362,test_1777023978840_kask7x7,completed_original,full_assessment,5.16,proficient,20,0.87,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0.746606334841629,""rG6"":0.746606334841629}"
stu_1777023763129_6667,test_1777023978840_kask7x7,completed_original,full_assessment,5.14,proficient,25,0.87,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0.6190476190476191,""rG6"":0.6190476190476191}"
stu_1777340051462_9691,test_1777341418390_7p46nbr,completed_original,full_assessment,1,emerging,27,0.87,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0}"
stu_1777340052046_4165,test_1777341418390_7p46nbr,completed_original,full_assessment,5.12,proficient,31,0.87,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0.5,""rG6"":0.5}"
stu_1777340052233_9667,test_1777341418390_7p46nbr,completed_original,full_assessment,5.1,proficient,27,0.87,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0.4,""rG6"":0.4}"
stu_1777340052756_4794,test_1777341418390_7p46nbr,completed_original,full_assessment,1.37,emerging,17,0.87,"{""rG1"":0.5714285714285714,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0}"
stu_1777340052928_1612,test_1777341418390_7p46nbr,completed_original,full_assessment,5.12,proficient,27,0.87,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0.5,""rG6"":0.5}"
stu_1777374905378_409,test_1777341418390_7p46nbr,completed_original,full_assessment,1.37,emerging,14,0.87,"{""rG1"":0.5714285714285714,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0}"
stu_1780967494580_4312,test_1780996897356_kspg977,completed_original,full_assessment,1,emerging,66,1,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0}"
stu_1780967494580_4312,test_1781051031467_d8q3s6i,completed_original,full_assessment,5.65,proficient,32,0.93,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0.7111111111111111}"
stu_1780967494580_4312,test_1781093235410_7hlnif4,completed_original,full_assessment,2.03,emerging,7,0.73,"{""rG1"":0,""rG2"":0.4046511627906977,""rG3"":0.005714285714285714,""rG4"":0.005714285714285714,""rG5"":0,""rG6"":0}"
stu_1780967494776_5259,test_1780996897356_kspg977,completed_original,full_assessment,1,emerging,43,1,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0}"
stu_1780967494776_5259,test_1781051031467_d8q3s6i,completed_original,full_assessment,5.06,proficient,30,0.93,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0.25075528700906347,""rG6"":0.24444444444444444}"
stu_1780967494776_5259,test_1781089532764_fckxbu0,completed_original,full_assessment,5.59,proficient,29,0.93,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0.3716012084592145}"
stu_1780967494776_5259,test_1781091763213_4cfhvjq,completed_original,full_assessment,5.59,proficient,48,0.93,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0.3716012084592145}"
stu_1780967494776_5259,test_1781093235410_7hlnif4,completed_original,full_assessment,3.13,developing,12,0.73,"{""rG1"":0,""rG2"":0.03255813953488372,""rG3"":0.6528925619834711,""rG4"":0.13043478260869565,""rG5"":0,""rG6"":0}"
stu_1780967494964_3113,test_1780996897356_kspg977,completed_original,full_assessment,5.65,proficient,42,1,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0.76}"
stu_1780967494964_3113,test_1781051031467_d8q3s6i,completed_original,full_assessment,1,emerging,27,0.93,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0}"
stu_1780967494964_3113,test_1781089532764_fckxbu0,completed_original,full_assessment,5.61,proficient,28,0.93,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0.5}"
stu_1780967494964_3113,test_1781091763213_4cfhvjq,completed_original,full_assessment,5.67,proficient,33,0.93,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0.8769230769230769}"
stu_1780967494964_3113,test_1781093235410_7hlnif4,completed_original,full_assessment,1,emerging,7,0.73,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0}"
stu_1780967494964_3113,test_1781094588909_etc7w2i,completed_original,full_assessment,1,emerging,26,0.87,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0}"
stu_1780967760765_5855,test_1781051031467_d8q3s6i,completed_original,full_assessment,5.61,proficient,40,0.93,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0.5}"
stu_1780967760954_1871,test_1781051031467_d8q3s6i,completed_original,full_assessment,5,proficient,69,0.93,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0.44410876132930516,""rG6"":0}"
stu_1780967760954_1871,test_1781091763213_4cfhvjq,partial,partial_assessment,1,emerging,34,0.93,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0}"
stu_1780967760954_1871,test_1781093235410_7hlnif4,completed_original,full_assessment,1,emerging,7,0.73,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0}"
stu_1780967760954_1871,test_1781094588909_etc7w2i,completed_original,full_assessment,1,emerging,28,0.87,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0}"
stu_1780967761139_4648,test_1780996897356_kspg977,completed_original,full_assessment,5.02,proficient,51,1,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0.56,""rG6"":0.16923076923076913}"
stu_1780967761139_4648,test_1781051031467_d8q3s6i,completed_original,full_assessment,5.6,proficient,39,0.93,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0.4222222222222222}"
stu_1780967761139_4648,test_1781093235410_7hlnif4,completed_original,full_assessment,1,emerging,12,0.73,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0}"
stu_1780967877464_7804,test_1781051031467_d8q3s6i,completed_original,full_assessment,1,emerging,34,0.93,"{""rG1"":0,""rG2"":0,""rG3"":0,""rG4"":0,""rG5"":0,""rG6"":0}"
stu_1780967877464_7804,test_1781091763213_4cfhvjq,partial,partial_assessment,3,developing,20,0.93,"{""rG1"":0,""rG2"":0,""rG3"":0.7548387096774194,""rG4"":0,""rG5"":0,""rG6"":0}"
